InputID,Traveller_ID,Location_Name,Rating
30198,197,"Bentota Beach",5
30199,198,"Bentota Beach",4
30200,199,"Bentota Beach",5
30201,200,"Bentota Beach",5
30202,201,"Bentota Beach",4
30203,202,"Bentota Beach",4
30204,203,"Bentota Beach",5
30205,204,"Bentota Beach",5
30206,205,"Bentota Beach",5
30207,206,"Bentota Beach",5
30208,207,"Bentota Beach",5
30209,208,"Bentota Beach",5
30210,209,"Bentota Beach",3
30211,210,"Bentota Beach",4
30212,211,"Bentota Beach",4
30213,212,"Bentota Beach",5
30214,213,"Bentota Beach",5
30215,214,"Bentota Beach",5
30216,215,"Bentota Beach",4
30217,216,"Bentota Beach",5
30218,217,"Bentota Beach",5
30219,218,"Bentota Beach",5
30220,219,"Bentota Beach",5
30221,220,"Bentota Beach",4
30222,221,"Bentota Beach",5
30223,222,"Bentota Beach",5
30224,223,"Bentota Beach",4
30225,224,"Bentota Beach",4
30226,225,"Bentota Beach",5
30227,226,"Bentota Beach",5
30228,227,"Bentota Beach",4
30229,228,"Bentota Beach",5
30230,229,"Bentota Beach",5
30231,230,"Bentota Beach",2
30232,213,"Bentota Beach",5
30233,231,"Bentota Beach",5
30234,232,"Bentota Beach",5
30235,233,"Bentota Beach",5
30236,234,"Bentota Beach",5
30237,235,"Bentota Beach",5
30238,236,"Bentota Beach",5
30239,237,"Bentota Beach",5
30240,238,"Bentota Beach",5
30241,239,"Bentota Beach",5
30242,240,"Bentota Beach",4
30243,241,"Bentota Beach",5
30244,242,"Bentota Beach",4
30245,243,"Bentota Beach",5
30246,244,"Bentota Beach",5
30247,245,"Bentota Beach",4
30248,246,"Bentota Beach",5
30249,247,"Bentota Beach",1
30250,248,"Bentota Beach",5
30251,249,"Bentota Beach",4
30252,250,"Bentota Beach",4
30253,251,"Bentota Beach",4
30254,252,"Bentota Beach",5
30255,253,"Bentota Beach",5
30256,254,"Bentota Beach",5
30257,255,"Bentota Beach",5
30258,256,"Bentota Beach",4
30259,257,"Bentota Beach",5
30260,258,"Bentota Beach",4
30261,259,"Bentota Beach",5
30262,260,"Bentota Beach",5
30263,261,"Bentota Beach",5
30264,262,"Bentota Beach",5
30265,263,"Bentota Beach",5
30266,264,"Bentota Beach",5
30267,265,"Bentota Beach",4
30268,266,"Bentota Beach",5
30269,267,"Bentota Beach",5
30270,268,"Bentota Beach",1
30271,269,"Bentota Beach",5
30272,270,"Bentota Beach",5
30273,271,"Bentota Beach",5
30274,272,"Bentota Beach",4
30275,273,"Bentota Beach",5
30276,274,"Bentota Beach",5
30277,275,"Bentota Beach",4
30278,276,"Bentota Beach",5
30279,277,"Bentota Beach",4
30280,278,"Bentota Beach",5
30281,279,"Bentota Beach",5
30282,280,"Bentota Beach",5
30283,281,"Bentota Beach",5
30284,282,"Bentota Beach",5
30285,283,"Bentota Beach",5
30286,284,"Bentota Beach",5
30287,285,"Bentota Beach",5
30288,286,"Bentota Beach",4
30289,287,"Bentota Beach",5
30290,288,"Bentota Beach",5
30291,289,"Bentota Beach",5
30292,290,"Bentota Beach",5
30293,291,"Bentota Beach",5
30294,292,"Bentota Beach",4
30295,293,"Bentota Beach",5
30296,294,"Bentota Beach",5
30297,295,"Bentota Beach",5
30298,296,"Bentota Beach",5
30299,297,"Bentota Beach",5
30300,298,"Bentota Beach",4
30301,299,"Bentota Beach",5
30302,300,"Bentota Beach",5
30303,301,"Bentota Beach",5
30304,302,"Bentota Beach",5
30305,303,"Bentota Beach",5
30306,304,"Bentota Beach",4
30307,305,"Bentota Beach",5
30308,306,"Bentota Beach",5
30309,307,"Bentota Beach",5
30310,308,"Bentota Beach",4
30311,309,"Bentota Beach",5
30312,310,"Bentota Beach",5
30313,311,"Bentota Beach",5
30314,312,"Bentota Beach",4
30315,313,"Bentota Beach",5
30316,314,"Bentota Beach",4
30317,315,"Bentota Beach",5
30318,316,"Bentota Beach",4
30319,317,"Bentota Beach",5
30320,318,"Bentota Beach",4
30321,319,"Bentota Beach",5
30322,320,"Bentota Beach",5
30323,321,"Bentota Beach",4
30324,322,"Bentota Beach",3
30325,323,"Bentota Beach",5
30326,324,"Bentota Beach",5
30327,325,"Bentota Beach",5
30328,326,"Bentota Beach",5
30329,327,"Bentota Beach",4
30330,328,"Bentota Beach",5
30331,329,"Bentota Beach",5
30332,330,"Bentota Beach",5
30333,331,"Bentota Beach",5
30334,332,"Bentota Beach",5
30335,333,"Bentota Beach",5
30336,334,"Bentota Beach",5
30337,335,"Bentota Beach",5
30338,336,"Bentota Beach",5
30339,337,"Bentota Beach",5
30340,338,"Bentota Beach",5
30341,339,"Bentota Beach",5
30342,340,"Bentota Beach",3
30343,341,"Bentota Beach",4
30344,342,"Bentota Beach",5
30345,343,"Bentota Beach",4
30346,344,"Bentota Beach",5
30347,345,"Bentota Beach",5
