InputID,Traveller_ID,Traveller_Country,Photography,location_Type,Travel_Year,Travel_month,month,rating,sentiment_comments
30140,140,"United Kingdom","No photography",Beaches,2012,7,July,5,Positive
30141,141,"United Kingdom","No photography",Beaches,2012,6,June,4,Positive
30142,142,Australia,"No photography",Beaches,2012,5,May,5,Positive
30143,143,"United Kingdom","No photography",Beaches,2012,1,January,5,Positive
30144,144,Ireland,"No photography",Beaches,2011,10,October,5,Positive
30145,145,"United States","No photography",Beaches,2015,4,April,5,Positive
30146,146,"Czech Republic","No photography",Beaches,2014,9,September,2,Positive
30147,147,"United Kingdom","No photography",Beaches,2015,2,February,4,Positive
30148,148,Australia,"No photography",Beaches,2014,9,September,5,Positive
30149,149,Singapore,"No photography",Beaches,2014,9,September,4,Positive
30150,150,"United States","No photography",Beaches,2014,10,October,5,Positive
30151,151,Australia,"No photography",Beaches,2014,9,September,2,Positive
30152,152,Australia,"No photography",Beaches,2014,9,September,1,Negative
30153,153,"Sri Lanka","No photography",Beaches,2014,8,August,3,Negative
30154,154,"United Kingdom","No photography",Beaches,2014,7,July,2,Positive
30155,155,"United States","No photography",Beaches,2014,7,July,3,Positive
30156,156,Australia,"No photography",Beaches,2014,5,May,4,Positive
30157,157,Australia,"No photography",Beaches,2014,4,April,1,Positive
30158,158,Australia,"No photography",Beaches,2014,1,January,5,Positive
30159,159,Malaysia,"No photography",Beaches,2013,4,April,5,Positive
30160,160,Australia,"No photography",Beaches,2018,3,March,5,Positive
30161,161,"United Arab Emirates","No photography",Beaches,2017,5,May,5,Positive
30162,162,"United Kingdom","No photography",Beaches,2018,3,March,4,Positive
30163,163,Italy,"No photography",Beaches,2018,1,January,3,Positive
30164,164,"Czech Republic","No photography",Beaches,2018,2,February,5,Positive
30165,165,Ireland,"No photography",Beaches,2017,9,September,4,Positive
49798,165,Ireland,"No photography","National Parks",2017,8,August,5,Positive
30166,166,Netherlands,"No photography",Beaches,2017,12,December,4,Positive
30167,167,"Sri Lanka","No photography",Beaches,2018,2,February,4,Positive
30168,168,Germany,"No photography",Beaches,2018,1,January,3,Positive
30170,169,Kuwait,"No photography",Beaches,2011,8,August,4,Positive
30171,170,"United States","No photography",Beaches,2011,8,August,4,Positive
30172,171,"United Kingdom","No photography",Beaches,2011,8,August,5,Positive
30173,172,Italy,"No photography",Beaches,2011,8,August,5,Positive
30174,173,Netherlands,"No photography",Beaches,2011,7,July,5,Positive
30175,174,"United Kingdom","No photography",Beaches,2011,6,June,4,Positive
30176,175,"United Kingdom","No photography",Beaches,2011,2,February,4,Positive
30177,176,"United States","No photography",Beaches,2011,2,February,4,Positive
30178,177,"United Kingdom","No photography",Beaches,2016,8,August,5,Positive
30179,178,Belgium,"No photography",Beaches,2016,8,August,2,Negative
30180,179,Australia,"No photography",Beaches,2016,7,July,4,Positive
30181,180,Netherlands,"No photography",Beaches,2016,7,July,2,Positive
30182,181,India,"No photography",Beaches,2016,7,July,4,Positive
30183,182,"South Africa","No photography",Beaches,2016,6,June,1,Negative
30184,183,Canada,"No photography",Beaches,2015,11,November,4,Positive
30185,184,Australia,"No photography",Beaches,2016,4,April,5,Positive
30186,185,"Czech Republic","No photography",Beaches,2015,9,September,5,Positive
50753,185,"United Kingdom","No photography","Nature & Wildlife Areas",2021,10,October,1,Negative
30187,186,"United Kingdom","No photography",Beaches,2023,4,April,5,Positive
30188,187,Australia,"No photography",Beaches,2023,3,March,5,Positive
30189,188,"United Kingdom","No photography",Beaches,2023,2,February,5,Positive
45040,188,"United Kingdom","No photography",Gardens,2012,2,February,4,Positive
43882,189,"United Arab Emirates","No photography",Farms,2015,6,June,5,Positive
30190,189,"United Kingdom","No photography",Beaches,2023,2,February,5,Positive
30191,190,"United Arab Emirates","No photography",Beaches,2022,12,December,5,Positive
30192,191,India,"No photography",Beaches,2022,11,November,5,Positive
30193,192,"South Africa","No photography",Beaches,2022,2,February,5,Positive
30194,193,Australia,"No photography",Beaches,2022,1,January,3,Positive
50991,193,Australia,"No photography","Nature & Wildlife Areas",2018,2,February,3,Positive
30195,194,"Czech Republic","No photography",Beaches,2022,3,March,3,Positive
30196,195,India,"No photography",Beaches,2021,12,December,5,Positive
30197,196,India,"No photography",Beaches,2021,1,January,5,Positive
30198,197,Ukraine,"No photography",Beaches,2021,2,February,5,Positive
30199,198,Kuwait,"No photography",Beaches,2019,12,December,4,Positive
30200,199,India,"No photography",Beaches,2019,8,August,5,Positive
30201,200,"United Kingdom","No photography",Beaches,2019,11,November,5,Positive
30203,202,"United Kingdom","No photography",Beaches,2019,11,November,4,Positive
30204,203,India,"No photography",Beaches,2019,11,November,5,Positive
30205,204,Latvia,"No photography",Beaches,2019,11,November,5,Positive
30206,205,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
30207,206,India,"No photography",Beaches,2019,10,October,5,Positive
30208,207,India,"No photography",Beaches,2019,10,October,5,Positive
30209,208,"United Arab Emirates","No photography",Beaches,2019,10,October,5,Positive
30210,209,Sweden,"No photography",Beaches,2019,10,October,3,Positive
30211,210,"United States","No photography",Beaches,2019,8,August,4,Positive
45066,210,"United States","No photography",Gardens,2013,8,August,5,Positive
45335,210,"United States","No photography",Gardens,2015,4,April,4,Positive
53037,210,"United States","No photography","Zoological Gardens",2016,5,May,3,Positive
30212,211,India,"No photography",Beaches,2018,11,November,4,Neutral
30213,212,India,"No photography",Beaches,2018,11,November,5,Positive
30214,213,"United Kingdom","No photography",Beaches,2019,9,September,5,Positive
30232,213,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
30215,214,Spain,"No photography",Beaches,2020,2,February,5,Positive
30216,215,"United Kingdom","No photography",Beaches,2020,2,February,4,Positive
30217,216,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
30218,217,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
30219,218,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
55469,218,"United States","No photography","Religious Sites",2019,3,March,5,Positive
30220,219,India,"No photography",Beaches,2020,1,January,5,Positive
30221,220,"United Arab Emirates","No photography",Beaches,2020,2,February,4,Positive
30222,221,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
30223,222,"South Africa","No photography",Beaches,2020,1,January,5,Positive
41540,222,"South Africa","No photography",Beaches,2018,1,January,3,Positive
30225,224,"United Kingdom","No photography",Beaches,2020,2,February,4,Positive
30226,225,India,"No photography",Beaches,2020,1,January,5,Positive
30227,226,India,"No photography",Beaches,2020,1,January,5,Positive
30229,228,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
30231,230,"United Arab Emirates","No photography",Beaches,2019,4,April,2,Positive
30233,231,"United Arab Emirates","No photography",Beaches,2019,4,April,5,Positive
30234,232,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
30235,233,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
30236,234,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
44864,234,"United Kingdom","No photography",Gardens,2018,3,March,5,Positive
30237,235,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
30238,236,India,"No photography",Beaches,2019,3,March,5,Positive
30241,239,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30242,240,India,"No photography",Beaches,2019,4,April,4,Positive
30243,241,"South Africa","No photography",Beaches,2019,4,April,5,Positive
30245,243,India,"No photography",Beaches,2019,9,September,5,Positive
30246,244,"Saudi Arabia","No photography",Beaches,2019,8,August,5,Positive
30247,245,Netherlands,"No photography",Beaches,2019,9,September,4,Positive
41661,245,Netherlands,"No photography",Beaches,2019,8,August,2,Positive
30248,246,"United Arab Emirates","No photography",Beaches,2019,8,August,5,Positive
30249,247,Australia,"No photography",Beaches,2019,8,August,1,Positive
30250,248,India,"No photography",Beaches,2018,9,September,5,Positive
30251,249,India,"No photography",Beaches,2019,8,August,4,Positive
30252,250,"United States","No photography",Beaches,2019,8,August,4,Positive
30253,251,Israel,"No photography",Beaches,2019,8,August,4,Positive
30254,252,Bahrain,"No photography",Beaches,2019,7,July,5,Positive
30255,253,India,"No photography",Beaches,2019,6,June,5,Positive
30256,254,Germany,"No photography",Beaches,2019,2,February,5,Positive
30257,255,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
44520,255,"United Arab Emirates","No photography",Farms,2014,4,April,5,Positive
30258,256,"United Kingdom","No photography",Beaches,2019,3,March,4,Positive
30259,257,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30260,258,Thailand,"No photography",Beaches,2019,2,February,4,Positive
30261,259,India,"No photography",Beaches,2019,2,February,5,Positive
30262,260,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
30263,261,Poland,"No photography",Beaches,2019,1,January,5,Positive
30264,262,"United Arab Emirates","No photography",Beaches,2019,2,February,5,Positive
30265,263,"Saudi Arabia","No photography",Beaches,2018,5,May,5,Positive
30266,264,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
30267,265,Qatar,"No photography",Beaches,2019,2,February,4,Positive
30268,266,Australia,"No photography",Beaches,2019,2,February,5,Positive
53639,266,Australia,"No photography","Religious Sites",2012,8,August,3,Negative
54433,266,Australia,"No photography","Religious Sites",2016,11,November,3,Positive
42789,266,Australia,"No photography","Bodies of Water",2016,12,December,3,Positive
30269,267,Poland,"No photography",Beaches,2019,2,February,5,Positive
30270,268,"United Kingdom","No photography",Beaches,2019,1,January,1,Positive
48544,268,"United Kingdom","No photography",Museums,2017,1,January,5,Positive
30271,269,China,"No photography",Beaches,2019,2,February,5,Positive
30272,270,"United States","No photography",Beaches,2019,1,January,5,Positive
30273,271,India,"No photography",Beaches,2019,3,March,5,Positive
30274,272,"United Kingdom","No photography",Beaches,2019,3,March,4,Positive
30275,273,"United States","No photography",Beaches,2019,3,March,5,Positive
30276,274,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30626,275,"United Kingdom","No photography",Beaches,2019,2,February,4,Positive
30278,276,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30279,277,India,"No photography",Beaches,2018,12,December,4,Positive
30280,278,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30281,279,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
30282,280,Mexico,"No photography",Beaches,2019,3,March,5,Positive
30283,281,"United Kingdom","No photography",Beaches,2019,3,March,5,Positive
30285,283,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
30286,284,India,"No photography",Beaches,2018,11,November,5,Positive
30287,285,India,"No photography",Beaches,2019,3,March,5,Positive
30288,286,India,"No photography",Beaches,2018,10,October,4,Positive
30289,287,India,"No photography",Beaches,2020,1,January,5,Positive
30290,288,Spain,"No photography",Beaches,2020,1,January,5,Negative
30291,289,Canada,"No photography",Beaches,2020,1,January,5,Positive
48055,289,"United Kingdom","No photography",Museums,2014,1,January,5,Positive
30292,290,"United Kingdom","No photography",Beaches,2020,1,January,5,Positive
30293,291,"United Kingdom","No photography",Beaches,2020,1,January,5,Positive
30294,292,India,"No photography",Beaches,2020,1,January,4,Negative
30295,293,India,"No photography",Beaches,2019,10,October,5,Positive
30296,294,China,"No photography",Beaches,2020,1,January,5,Positive
30297,295,Norway,"No photography",Beaches,2020,1,January,5,Positive
30298,296,India,"No photography",Beaches,2019,12,December,5,Positive
30299,297,"New Zealand","No photography",Beaches,2020,1,January,5,Positive
50146,297,"New Zealand","No photography","National Parks",2017,12,December,5,Positive
42130,298,India,"No photography","Bodies of Water",2020,2,February,4,Positive
43612,298,India,"No photography",Farms,2020,1,January,3,Positive
30300,298,India,"No photography",Beaches,2019,12,December,4,Positive
30301,299,Norway,"No photography",Beaches,2019,12,December,5,Positive
30302,300,"United Kingdom","No photography",Beaches,2019,12,December,5,Positive
30303,301,Singapore,"No photography",Beaches,2019,12,December,5,Positive
30304,302,India,"No photography",Beaches,2019,12,December,5,Positive
30305,303,Germany,"No photography",Beaches,2019,2,February,5,Positive
30306,304,India,"No photography",Beaches,2019,1,January,4,Positive
30307,305,India,"No photography",Beaches,2018,10,October,5,Positive
30308,306,"United Arab Emirates","No photography",Beaches,2019,2,February,5,Positive
30309,307,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
30310,308,"United Kingdom","No photography",Beaches,2019,2,February,4,Positive
30311,309,"South Africa","No photography",Beaches,2018,12,December,5,Positive
30312,310,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
42474,310,"United Kingdom","No photography","Bodies of Water",2019,1,January,3,Positive
44872,311,"United Kingdom","No photography",Gardens,2018,12,December,5,Positive
30313,311,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
30314,312,"South Africa","No photography",Beaches,2019,1,January,4,Positive
30315,313,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
30316,314,"Brunei Darussalam","No photography",Beaches,2019,1,January,4,Positive
30317,315,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
30318,316,"United Kingdom","No photography",Beaches,2019,1,January,4,Positive
30319,317,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
30320,318,"United Kingdom","No photography",Beaches,2018,8,August,4,Positive
30321,319,"United Kingdom","No photography",Beaches,2020,11,November,5,Positive
30389,319,"United Kingdom","No photography",Beaches,2019,1,January,5,Positive
41036,319,"United Kingdom","No photography",Beaches,2019,9,September,5,Positive
41190,319,"United Kingdom","No photography",Beaches,2023,3,March,5,Positive
41465,319,"United Kingdom","No photography",Beaches,2019,2,February,5,Positive
41950,319,"United Kingdom","No photography",Beaches,2020,1,January,5,Positive
30322,320,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
30323,321,Egypt,"No photography",Beaches,2020,2,February,4,Positive
30324,322,"United Kingdom","No photography",Beaches,2020,8,August,3,Positive
30855,322,"United Kingdom","No photography",Beaches,2018,6,June,1,Positive
41041,322,"United Kingdom","No photography",Beaches,2019,11,November,2,Neutral
41607,322,"United Kingdom","No photography",Beaches,2019,12,December,4,Positive
42014,322,"United Kingdom","No photography",Beaches,2017,11,November,5,Positive
42235,322,"United Kingdom","No photography","Bodies of Water",2018,7,July,4,Positive
42731,322,"United Kingdom","No photography","Bodies of Water",2016,12,December,4,Positive
44615,322,"United Kingdom","No photography",Farms,2018,8,August,5,Positive
52999,322,"United Kingdom","No photography","Zoological Gardens",2015,7,July,5,Positive
49253,322,"United Kingdom","No photography","National Parks",2019,8,August,2,Neutral
52998,322,"United Kingdom","No photography","Zoological Gardens",2015,8,August,4,Positive
53215,322,"United Kingdom","No photography","Religious Sites",2018,11,November,4,Positive
30325,323,Italy,"No photography",Beaches,2020,7,July,5,Positive
30326,324,"United Kingdom","No photography",Beaches,2020,3,March,5,Positive
30327,325,"United Kingdom","No photography",Beaches,2020,3,March,5,Positive
30328,326,"United Kingdom","No photography",Beaches,2020,3,March,5,Positive
42057,326,Portugal,"No photography",Beaches,2017,4,April,4,Positive
30329,327,"United Kingdom","No photography",Beaches,2020,2,February,4,Positive
30330,328,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
42696,328,"United Kingdom","No photography","Bodies of Water",2015,10,October,4,Neutral
30331,329,"United Kingdom","No photography",Beaches,2020,2,February,5,Positive
30332,330,"United Kingdom","No photography",Beaches,2020,3,March,5,Positive
30333,331,Portugal,"No photography",Beaches,2020,2,February,5,Positive
30334,332,Russia,"No photography",Beaches,2020,2,February,5,Neutral
30335,333,"United States","No photography",Beaches,2018,11,November,5,Positive
41151,333,"United States","No photography",Beaches,2013,2,February,4,Positive
30336,334,Thailand,"No photography",Beaches,2018,12,December,5,Positive
30337,335,Canada,"No photography",Beaches,2018,12,December,5,Positive
30338,336,Sweden,"No photography",Beaches,2018,12,December,5,Positive
30339,337,"United Kingdom","No photography",Beaches,2018,11,November,5,Positive
30340,338,India,"No photography",Beaches,2018,9,September,5,Positive
30341,339,"United Kingdom","No photography",Beaches,2018,12,December,5,Positive
30342,340,Australia,"No photography",Beaches,2018,12,December,3,Positive
30343,341,India,"No photography",Beaches,2018,12,December,4,Positive
30344,342,"Czech Republic","No photography",Beaches,2018,1,January,5,Positive
30345,343,India,"No photography",Beaches,2018,11,November,4,Positive
30346,344,Australia,"No photography",Beaches,2018,6,June,5,Positive
30347,345,"United Kingdom","No photography",Beaches,2018,12,December,5,Positive
30348,346,India,"No photography",Beaches,2018,12,December,4,Positive
30349,347,Australia,"No photography",Beaches,2018,10,October,3,Positive
30350,348,"United Kingdom","No photography",Beaches,2018,12,December,5,Positive
45072,348,"United Kingdom","No photography",Gardens,2013,9,September,5,Positive
