InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
49865,4795,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2020,2,February
45636,4806,Wildlife_photography,"United Arab Emirates",Peradeniya,Gardens,5,positive,2019,4,April
45663,4822,Wildlife_photography,"United Kingdom",Peradeniya,Gardens,5,positive,2019,11,November
45690,4839,Wildlife_photography,"United States",Peradeniya,Gardens,4,positive,2019,3,March
49918,4845,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2019,3,March
45741,4868,Wildlife_photography,"United Kingdom",Peradeniya,Gardens,5,positive,2019,3,March
45783,4894,Wildlife_photography,China,Peradeniya,Gardens,5,positive,2019,1,January
50004,4896,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2019,1,January
47037,4897,Wildlife_photography,"United Kingdom",Polonnaruwa,"Historic Sites",5,positive,2019,1,January
52711,4898,Wildlife_photography,"United Kingdom",Ella,Waterfalls,4,negative,2019,2,February
45832,4922,Wildlife_photography,"United Kingdom",Peradeniya,Gardens,5,positive,2019,1,January
45882,4949,Wildlife_photography,Australia,Peradeniya,Gardens,5,positive,2018,10,October
45901,4959,Wildlife_photography,"United Kingdom",Peradeniya,Gardens,5,positive,2018,9,September
52876,5030,Wildlife_photography,"United States","Nuwara Eliya",Waterfalls,4,positive,2016,1,January
46097,5039,Wildlife_photography,"United Kingdom","Nuwara Eliya",Gardens,4,positive,2017,11,November
46268,5138,Wildlife_photography,India,Galle,"Historic Sites",4,positive,2019,12,December
55004,5197,Wildlife_photography,India,Colombo,"Religious Sites",4,positive,2019,4,April
50498,5210,Wildlife_photography,"United Kingdom",Kalametiya,"Nature & Wildlife Areas",5,positive,2019,3,March
49639,5217,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2019,11,November
50067,5235,Wildlife_photography,"United Kingdom",Habarana,"National Parks",4,positive,2018,7,July
46471,5246,Wildlife_photography,"Sri Lanka",Jaffna,"Historic Sites",5,positive,2019,5,May
51764,5297,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",4,positive,2018,2,February
46604,5345,Wildlife_photography,"United Kingdom",Jaffna,"Historic Sites",4,negative,2016,1,January
56074,5408,Wildlife_photography,Australia,Jaffna,"Religious Sites",5,positive,2015,7,July
49562,5442,Wildlife_photography,"United States","Nuwara Eliya","National Parks",5,positive,2019,2,February
49723,5477,Wildlife_photography,Netherlands,Habarana,"National Parks",3,positive,2018,8,August
46839,5504,Wildlife_photography,Australia,Haputale,"Historic Sites",5,positive,2017,4,April
51736,5541,Wildlife_photography,"United States",Saliyapura,"Nature & Wildlife Areas",5,positive,2018,12,December
48697,5597,Wildlife_photography,"United Kingdom",Galle,Museums,4,positive,2019,4,April
47087,5624,Wildlife_photography,"United Kingdom",Polonnaruwa,"Historic Sites",4,positive,2018,12,December
49721,5648,Wildlife_photography,"New Zealand",Habarana,"National Parks",5,positive,2018,7,July
50590,5666,Wildlife_photography,Spain,Sigiriya,"Nature & Wildlife Areas",4,positive,2018,4,April
49743,5682,Wildlife_photography,Turkiye,Habarana,"National Parks",4,positive,2018,3,March
47214,5692,Wildlife_photography,Bulgaria,Polonnaruwa,"Historic Sites",4,positive,2019,12,December
50569,5693,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",5,positive,2019,12,December
47264,5713,Wildlife_photography,"United Kingdom",Polonnaruwa,"Historic Sites",4,positive,2018,6,June
47271,5720,Wildlife_photography,Singapore,Polonnaruwa,"Historic Sites",3,negative,2018,5,May
49697,5729,Wildlife_photography,Singapore,Habarana,"National Parks",4,positive,2018,9,September
47297,5734,Wildlife_photography,Australia,Anuradhapura,"Historic Sites",5,positive,2018,2,February
47350,5776,Wildlife_photography,"United Kingdom",Anuradhapura,"Historic Sites",5,positive,2015,1,January
47362,5787,Wildlife_photography,"South Africa",Anuradhapura,"Historic Sites",4,positive,2014,6,June
55080,5861,Wildlife_photography,"United Kingdom",Kandy,"Religious Sites",5,positive,2020,2,February
50897,5944,Wildlife_photography,India,Pinnawala,"Nature & Wildlife Areas",3,negative,2019,10,October
50570,5953,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",5,positive,2019,10,October
55184,5999,Wildlife_photography,"United Arab Emirates",Kandy,"Religious Sites",5,positive,2020,1,January
51809,6003,Wildlife_photography,Australia,Saliyapura,"Nature & Wildlife Areas",5,positive,2017,3,March
47737,6017,Wildlife_photography,Vietnam,Ambalangoda,Museums,5,positive,2014,8,August
51699,6036,Wildlife_photography,Singapore,Saliyapura,"Nature & Wildlife Areas",4,negative,2019,4,April
49313,6080,Wildlife_photography,Croatia,Weligatta,"National Parks",5,positive,2018,1,January
47988,6198,Wildlife_photography,"United Kingdom",Kandy,Museums,4,positive,2015,2,February
54353,6473,Wildlife_photography,Singapore,Anuradhapura,"Religious Sites",5,positive,2017,7,July
48395,6479,Wildlife_photography,Australia,Hikkaduwa,Museums,5,positive,2020,2,February
48407,6486,Wildlife_photography,Belgium,Hikkaduwa,Museums,5,positive,2019,10,October
48434,6501,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,positive,2019,3,March
48458,6517,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,positive,2017,11,November
48488,6543,Wildlife_photography,Australia,Hikkaduwa,Museums,5,positive,2018,1,January
48527,6562,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,4,positive,2017,4,April
48617,6635,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,negative,2016,7,July
48618,6636,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,positive,2016,8,August
48628,6641,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,positive,2016,7,July
48636,6648,Wildlife_photography,Europe,Hikkaduwa,Museums,5,positive,2016,7,July
48647,6657,Wildlife_photography,Australia,Hikkaduwa,Museums,4,negative,2016,2,February
51287,6707,Wildlife_photography,Ethiopia,Deniyaya,"Nature & Wildlife Areas",4,positive,2017,9,September
48726,6715,Wildlife_photography,"United Kingdom",Galle,Museums,5,positive,2015,1,January
48831,6776,Wildlife_photography,Singapore,Sigiriya,Museums,5,positive,2018,1,January
48844,6785,Wildlife_photography,Netherlands,Sigiriya,Museums,3,positive,2017,9,September
48868,6796,Wildlife_photography,"United Kingdom",Sigiriya,Museums,4,positive,2017,3,March
48887,6810,Wildlife_photography,Australia,Sigiriya,Museums,4,positive,2016,12,December
50726,6815,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",3,positive,2016,10,October
52405,6975,Wildlife_photography,"United States",Pussellawa,Waterfalls,5,positive,2018,5,May
49170,7002,Wildlife_photography,Australia,Kandy,Museums,5,positive,2017,1,January
54058,7006,Wildlife_photography,"United States",Anuradhapura,"Religious Sites",3,positive,2016,10,October
49238,7048,Wildlife_photography,Netherlands,Weligatta,"National Parks",5,positive,2019,12,December
49248,7056,Wildlife_photography,Canada,Weligatta,"National Parks",5,positive,2020,3,March
49270,7072,Wildlife_photography,"Solomon Islands",Weligatta,"National Parks",5,positive,2018,12,December
49274,7075,Wildlife_photography,"United Arab Emirates",Weligatta,"National Parks",5,positive,2018,12,December
49279,7080,Wildlife_photography,Poland,Weligatta,"National Parks",5,positive,2022,2,February
51258,7085,Wildlife_photography,Australia,Deniyaya,"Nature & Wildlife Areas",4,positive,2019,4,April
51705,7085,Wildlife_photography,Australia,Saliyapura,"Nature & Wildlife Areas",5,positive,2019,4,April
49300,7095,Wildlife_photography,"United Kingdom",Weligatta,"National Parks",5,positive,2018,2,February
49331,7119,Wildlife_photography,"Hong Kong",Weligatta,"National Parks",5,positive,2019,2,February
49332,7120,Wildlife_photography,Norway,Weligatta,"National Parks",5,positive,2019,2,February
49349,7136,Wildlife_photography,India,Weligatta,"National Parks",5,positive,2017,8,August
49353,7140,Wildlife_photography,"United Kingdom",Weligatta,"National Parks",5,positive,2017,4,April
49354,7141,Wildlife_photography,"United Kingdom",Weligatta,"National Parks",4,positive,2017,3,March
51341,7141,Wildlife_photography,"United Kingdom",Deniyaya,"Nature & Wildlife Areas",4,positive,2017,4,April
49371,7154,Wildlife_photography,Hungary,Weligatta,"National Parks",5,positive,2017,1,January
49384,7163,Wildlife_photography,India,Weligatta,"National Parks",3,positive,2016,12,December
49406,7181,Wildlife_photography,Norway,Weligatta,"National Parks",5,positive,2017,4,April
49422,7194,Wildlife_photography,Russia,"Nuwara Eliya","National Parks",4,positive,2022,1,January
49511,7240,Wildlife_photography,India,"Nuwara Eliya","National Parks",5,positive,2019,2,February
49548,7255,Wildlife_photography,"United Kingdom","Nuwara Eliya","National Parks",2,positive,2019,1,January
49564,7258,Wildlife_photography,Romania,"Nuwara Eliya","National Parks",5,positive,2019,2,February
49624,7287,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2019,10,October
49658,7308,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2019,9,September
49744,7360,Wildlife_photography,"United Kingdom",Habarana,"National Parks",4,positive,2018,3,March
49746,7362,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2018,3,March
49770,7380,Wildlife_photography,"United Arab Emirates",Habarana,"National Parks",5,positive,2018,3,March
49790,7394,Wildlife_photography,Cyprus,Habarana,"National Parks",5,positive,2018,2,February
49797,7399,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2018,2,February
49802,7401,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2018,2,February
55359,7409,Wildlife_photography,Australia,Habarana,"Religious Sites",4,positive,2020,8,August
49848,7433,Wildlife_photography,Australia,Ampara,"National Parks",3,negative,2015,7,July
49873,7449,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2019,11,November
49880,7452,Wildlife_photography,"United Arab Emirates",Habarana,"National Parks",5,positive,2019,4,April
49898,7463,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2019,4,April
49923,7474,Wildlife_photography,"United States",Habarana,"National Parks",3,positive,2019,3,March
49924,7474,Wildlife_photography,"United States",Habarana,"National Parks",3,positive,2019,3,March
49946,7490,Wildlife_photography,"United Kingdom",Habarana,"National Parks",1,negative,2018,11,November
49963,7498,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2018,9,September
49980,7510,Wildlife_photography,"United Kingdom",Habarana,"National Parks",4,positive,2018,9,September
50037,7541,Wildlife_photography,India,Habarana,"National Parks",4,positive,2018,4,April
51691,7570,Wildlife_photography,Germany,Saliyapura,"Nature & Wildlife Areas",5,positive,2019,8,August
50185,7620,Wildlife_photography,"United Kingdom",Nilaveli,"National Parks",3,positive,2018,8,August
50206,7635,Wildlife_photography,"United Kingdom",Nilaveli,"National Parks",4,positive,2017,8,August
50296,7696,Wildlife_photography,Malaysia,Embilipitiya,"National Parks",5,positive,2020,3,March
50310,7706,Wildlife_photography,"United Kingdom",Embilipitiya,"National Parks",5,positive,2020,2,February
50313,7709,Wildlife_photography,"United Kingdom",Embilipitiya,"National Parks",5,positive,2020,2,February
50329,7718,Wildlife_photography,"United Kingdom",Embilipitiya,"National Parks",5,positive,2023,2,February
50348,7732,Wildlife_photography,Canada,Embilipitiya,"National Parks",5,positive,2020,1,January
50368,7745,Wildlife_photography,"United Arab Emirates",Embilipitiya,"National Parks",5,positive,2019,12,December
50390,7759,Wildlife_photography,"United Kingdom",Embilipitiya,"National Parks",5,positive,2019,11,November
50399,7766,Wildlife_photography,Nepal,Embilipitiya,"National Parks",5,positive,2019,12,December
50409,7774,Wildlife_photography,Ireland,Embilipitiya,"National Parks",5,positive,2019,11,November
50413,7778,Wildlife_photography,Germany,Embilipitiya,"National Parks",5,positive,2019,10,October
50425,7786,Wildlife_photography,"United States",Embilipitiya,"National Parks",5,positive,2019,10,October
