InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
51535,8526,Wildlife_photography,"United Kingdom",Kandy,"Nature & Wildlife Areas",4,positive,2018,1,January
51654,8606,Wildlife_photography,"United Kingdom",Kandy,"Nature & Wildlife Areas",4,positive,2014,2,February
51682,8622,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",5,positive,2020,1,January
51696,8629,Wildlife_photography,Australia,Saliyapura,"Nature & Wildlife Areas",5,positive,2018,10,October
51780,8675,Wildlife_photography,"New Zealand",Saliyapura,"Nature & Wildlife Areas",4,positive,2017,6,June
51830,8709,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",4,positive,2018,4,April
51856,8723,Wildlife_photography,"Sri Lanka",Saliyapura,"Nature & Wildlife Areas",5,positive,2016,8,August
51877,8737,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",3,positive,2017,12,December
51895,8749,Wildlife_photography,Netherlands,Saliyapura,"Nature & Wildlife Areas",5,positive,2016,1,January
51927,8774,Wildlife_photography,"United States",Saliyapura,"Nature & Wildlife Areas",5,positive,2016,1,January
51948,8788,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",5,positive,2015,2,February
51949,8789,Wildlife_photography,Israel,Saliyapura,"Nature & Wildlife Areas",5,positive,2015,1,January
51950,8790,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",3,positive,2015,2,February
51955,8794,Wildlife_photography,Australia,Saliyapura,"Nature & Wildlife Areas",3,positive,2014,8,August
51967,8804,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",4,positive,2014,2,February
51969,8806,Wildlife_photography,Singapore,Saliyapura,"Nature & Wildlife Areas",5,positive,2014,1,January
51978,8814,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",4,positive,2014,8,August
51981,8816,Wildlife_photography,"United Kingdom",Saliyapura,"Nature & Wildlife Areas",4,positive,2013,6,June
51997,8828,Wildlife_photography,"United Kingdom","Nuwara Eliya",Waterfalls,4,positive,2017,11,November
52064,8855,Wildlife_photography,Indonesia,"Nuwara Eliya",Waterfalls,4,positive,2014,3,March
52125,8882,Wildlife_photography,Netherlands,Koslanda,Waterfalls,4,positive,2018,10,October
52142,8893,Wildlife_photography,"United Kingdom",Koslanda,Waterfalls,5,positive,2015,9,September
52781,8922,Wildlife_photography,Germany,"Nuwara Eliya",Waterfalls,4,positive,2017,12,December
52252,8924,Wildlife_photography,"United Arab Emirates","Nuwara Eliya",Waterfalls,2,positive,2017,9,September
52300,8948,Wildlife_photography,"United Kingdom","Nuwara Eliya",Waterfalls,5,positive,2017,1,January
52383,8989,Wildlife_photography,"United Kingdom",Pussellawa,Waterfalls,4,positive,2018,4,April
52504,9046,Wildlife_photography,Australia,Pussellawa,Waterfalls,4,positive,2015,12,December
52920,9050,Wildlife_photography,India,"Nuwara Eliya",Waterfalls,3,positive,2015,10,October
52537,9064,Wildlife_photography,Australia,Pussellawa,Waterfalls,2,positive,2016,2,February
